"block","year","compost_added","winter_cover_freq","cover_crop_type","cover_crop_seeding_rate","TOC_mg_ha","TON_ma_ha"
"1",1,"Yes","Every winter","Leg-rye","1x","20",2.6
"2",1,"Yes","Every winter","Leg-rye","1x","12",2.1
"3",1,"Yes","Every winter","Leg-rye","1x","16",3
"4",1,"Yes","Every winter","Leg-rye","1x","34",4.2
"1",1,"Yes","Every winter","Leg-rye","3x","18",2.6
"2",1,"Yes","Every winter","Leg-rye","3x","16",2.6
"3",1,"Yes","Every winter","Leg-rye","3x","14",2.6
"4",1,"Yes","Every winter","Leg-rye","3x","32",4.2
"1",1,"Yes","Every winter","Mustard","1x","12",2.1
"2",1,"Yes","Every winter","Mustard","1x","18",2.6
"3",1,"Yes","Every winter","Mustard","1x","13",2.6
"4",1,"Yes","Every winter","Mustard","1x","24",3.8
"1",1,"Yes","Every winter","Mustard","3x","22",2.6
"2",1,"Yes","Every winter","Mustard","3x","17",2.6
"3",1,"Yes","Every winter","Mustard","3x","14",2.6
"4",1,"Yes","Every winter","Mustard","3x","20",2.6
"1",1,"Yes","Every winter","Rye","1x","18",2.6
"2",1,"Yes","Every winter","Rye","1x","19",3
"3",1,"Yes","Every winter","Rye","1x","18",2.6
"4",1,"Yes","Every winter","Rye","1x","26",3.4
"1",1,"Yes","Every winter","Rye","3x","19",2.6
"2",1,"Yes","Every winter","Rye","3x","12",2.2
"3",1,"Yes","Every winter","Rye","3x","13",2.5
"4",1,"Yes","Every winter","Rye","3x","23",2.9
"1",2,"No","Every 4th winter","Leg-rye","3x","34",3.3
"2",2,"No","Every 4th winter","Leg-rye","3x","30",2.9
"3",2,"No","Every 4th winter","Leg-rye","3x","23",2.5
"4",2,"No","Every 4th winter","Leg-rye","3x","25",2.5
"1",2,"Yes","Every 4th winter","Leg-rye","3x","42",3.8
"2",2,"Yes","Every 4th winter","Leg-rye","3x","27",2.6
"3",2,"Yes","Every 4th winter","Leg-rye","3x","34",3.4
"4",2,"Yes","Every 4th winter","Leg-rye","3x","43",4.6
"1",2,"Yes","Every winter","Leg-rye","1x","44",4.2
"2",2,"Yes","Every winter","Leg-rye","1x","38",3.8
"3",2,"Yes","Every winter","Leg-rye","1x","31",3
"4",2,"Yes","Every winter","Leg-rye","1x","42",3.8
"1",2,"Yes","Every winter","Leg-rye","3x","40",3.8
"2",2,"Yes","Every winter","Leg-rye","3x","41",3.8
"3",2,"Yes","Every winter","Leg-rye","3x","34",3.5
"4",2,"Yes","Every winter","Leg-rye","3x","52",5
"1",2,"Yes","Every winter","Mustard","1x","29",2.6
"2",2,"Yes","Every winter","Mustard","1x","35",3.4
"3",2,"Yes","Every winter","Mustard","1x","44",4.2
"4",2,"Yes","Every winter","Mustard","1x","52",5.4
"1",2,"Yes","Every winter","Mustard","3x","43",4.2
"2",2,"Yes","Every winter","Mustard","3x","46",5
"3",2,"Yes","Every winter","Mustard","3x","34",3.4
"4",2,"Yes","Every winter","Mustard","3x","47",5
"1",2,"Yes","Every winter","Rye","1x","36",3.5
"2",2,"Yes","Every winter","Rye","1x","31",3
"3",2,"Yes","Every winter","Rye","1x","42",3.9
"4",2,"Yes","Every winter","Rye","1x","37",3.9
"1",2,"Yes","Every winter","Rye","3x","45",4.2
"2",2,"Yes","Every winter","Rye","3x","34",3
"3",2,"Yes","Every winter","Rye","3x","38",3
"4",2,"Yes","Every winter","Rye","3x","37",3.8
"1",3,"No","Every 4th winter","Leg-rye","3x","28",2.9
"2",3,"No","Every 4th winter","Leg-rye","3x","29",2.5
"3",3,"No","Every 4th winter","Leg-rye","3x","22",2.1
"4",3,"No","Every 4th winter","Leg-rye","3x","26",2.1
"1",3,"Yes","Every 4th winter","Leg-rye","3x","35",2.6
"2",3,"Yes","Every 4th winter","Leg-rye","3x","34",3
"3",3,"Yes","Every 4th winter","Leg-rye","3x","39",3.4
"4",3,"Yes","Every 4th winter","Leg-rye","3x","34",3
"1",3,"Yes","Every winter","Leg-rye","1x","38",3.4
"2",3,"Yes","Every winter","Leg-rye","1x","32",3.4
"3",3,"Yes","Every winter","Leg-rye","1x","40",3.4
"4",3,"Yes","Every winter","Leg-rye","1x","36",3
"1",3,"Yes","Every winter","Leg-rye","3x","42",3.4
"2",3,"Yes","Every winter","Leg-rye","3x","35",3
"3",3,"Yes","Every winter","Leg-rye","3x","35",3.1
"4",3,"Yes","Every winter","Leg-rye","3x","28",2.6
"1",3,"Yes","Every winter","Mustard","1x","32",3
"2",3,"Yes","Every winter","Mustard","1x","39",3.4
"3",3,"Yes","Every winter","Mustard","1x","32",2.6
"4",3,"Yes","Every winter","Mustard","1x","42",3.8
"1",3,"Yes","Every winter","Mustard","3x","41",3.4
"2",3,"Yes","Every winter","Mustard","3x","43",3.8
"3",3,"Yes","Every winter","Mustard","3x","38",3.4
"4",3,"Yes","Every winter","Mustard","3x","37",3
"1",3,"Yes","Every winter","Rye","1x","32",3.1
"2",3,"Yes","Every winter","Rye","1x","34",3
"3",3,"Yes","Every winter","Rye","1x","38",3.5
"4",3,"Yes","Every winter","Rye","1x","40",3.5
"1",3,"Yes","Every winter","Rye","3x","40",3.4
"2",3,"Yes","Every winter","Rye","3x","41",3.8
"3",3,"Yes","Every winter","Rye","3x","37",3.4
"4",3,"Yes","Every winter","Rye","3x","36",3
"1",4,"No","Every 4th winter","Leg-rye","3x","22",2.1
"2",4,"No","Every 4th winter","Leg-rye","3x","18",2.1
"3",4,"No","Every 4th winter","Leg-rye","3x","18",2.1
"4",4,"No","Every 4th winter","Leg-rye","3x","24",2.5
"1",4,"Yes","Every 4th winter","Leg-rye","3x","31",3.4
"2",4,"Yes","Every 4th winter","Leg-rye","3x","26",2.7
"3",4,"Yes","Every 4th winter","Leg-rye","3x","23",2.2
"4",4,"Yes","Every 4th winter","Leg-rye","3x","29",3
"1",4,"Yes","Every winter","Leg-rye","1x","26",2.6
"2",4,"Yes","Every winter","Leg-rye","1x","22",2.6
"3",4,"Yes","Every winter","Leg-rye","1x","23",2.6
"4",4,"Yes","Every winter","Leg-rye","1x","34",3.4
"1",4,"Yes","Every winter","Leg-rye","3x","28",2.7
"2",4,"Yes","Every winter","Leg-rye","3x","28",3.1
"3",4,"Yes","Every winter","Leg-rye","3x","28",3.1
"4",4,"Yes","Every winter","Leg-rye","3x","31",3.1
"1",4,"Yes","Every winter","Mustard","1x","21",1.9
"2",4,"Yes","Every winter","Mustard","1x","32",3.1
"3",4,"Yes","Every winter","Mustard","1x","30",3.1
"4",4,"Yes","Every winter","Mustard","1x","33",3.5
"1",4,"Yes","Every winter","Mustard","3x","29",2.6
"2",4,"Yes","Every winter","Mustard","3x","25",2.6
"3",4,"Yes","Every winter","Mustard","3x","24",2.6
"4",4,"Yes","Every winter","Mustard","3x","32",3
"1",4,"Yes","Every winter","Rye","1x","21",2.4
"2",4,"Yes","Every winter","Rye","1x","25",2.7
"3",4,"Yes","Every winter","Rye","1x","24",2.7
"4",4,"Yes","Every winter","Rye","1x","37",3.5
"1",4,"Yes","Every winter","Rye","3x","37",3.4
"2",4,"Yes","Every winter","Rye","3x","30",3
"3",4,"Yes","Every winter","Rye","3x","25",2.6
"4",4,"Yes","Every winter","Rye","3x","31",3
"1",5,"No","Every 4th winter","Leg-rye","3x","24",2.5
"2",5,"No","Every 4th winter","Leg-rye","3x","20",2.1
"3",5,"No","Every 4th winter","Leg-rye","3x","16",1.7
"4",5,"No","Every 4th winter","Leg-rye","3x","30",2.9
"1",5,"Yes","Every 4th winter","Leg-rye","3x","27",2.6
"2",5,"Yes","Every 4th winter","Leg-rye","3x","29",2.7
"3",5,"Yes","Every 4th winter","Leg-rye","3x","31",3
"4",5,"Yes","Every 4th winter","Leg-rye","3x","31",3
"1",5,"Yes","Every winter","Leg-rye","1x","33",3
"2",5,"Yes","Every winter","Leg-rye","1x","37",3.8
"3",5,"Yes","Every winter","Leg-rye","1x","29",2.6
"4",5,"Yes","Every winter","Leg-rye","1x","28",2.6
"1",5,"Yes","Every winter","Leg-rye","3x","38",3.5
"2",5,"Yes","Every winter","Leg-rye","3x","32",3.1
"3",5,"Yes","Every winter","Leg-rye","3x","28",2.8
"4",5,"Yes","Every winter","Leg-rye","3x","38",3.4
"1",5,"Yes","Every winter","Mustard","1x","29",2.6
"2",5,"Yes","Every winter","Mustard","1x","27",2.7
"3",5,"Yes","Every winter","Mustard","1x","27",2.3
"4",5,"Yes","Every winter","Mustard","1x","41",3.9
"1",5,"Yes","Every winter","Mustard","3x","40",3.8
"2",5,"Yes","Every winter","Mustard","3x","33",3
"3",5,"Yes","Every winter","Mustard","3x","26",2.6
"4",5,"Yes","Every winter","Mustard","3x","20",2.2
"1",5,"Yes","Every winter","Rye","1x","32",3.2
"2",5,"Yes","Every winter","Rye","1x","40",3.8
"3",5,"Yes","Every winter","Rye","1x","31",3.1
"4",5,"Yes","Every winter","Rye","1x","37",3.5
"1",5,"Yes","Every winter","Rye","3x","35",3.4
"2",5,"Yes","Every winter","Rye","3x","36",3.4
"3",5,"Yes","Every winter","Rye","3x","25",2.2
"4",5,"Yes","Every winter","Rye","3x","30",3
"1",6,"No","Every 4th winter","Leg-rye","3x","26",2.3
"2",6,"No","Every 4th winter","Leg-rye","3x","29",2.7
"3",6,"No","Every 4th winter","Leg-rye","3x","23",2.1
"4",6,"No","Every 4th winter","Leg-rye","3x","25",2.3
"1",6,"Yes","Every 4th winter","Leg-rye","3x","33",2.9
"2",6,"Yes","Every 4th winter","Leg-rye","3x","49",4.4
"3",6,"Yes","Every 4th winter","Leg-rye","3x","40",3.8
"4",6,"Yes","Every 4th winter","Leg-rye","3x","39",3.5
"1",6,"Yes","Every winter","Leg-rye","1x","40",3.5
"2",6,"Yes","Every winter","Leg-rye","1x","41",3.7
"3",6,"Yes","Every winter","Leg-rye","1x","33",3
"4",6,"Yes","Every winter","Leg-rye","1x","38",3.5
"1",6,"Yes","Every winter","Leg-rye","3x","47",4.3
"2",6,"Yes","Every winter","Leg-rye","3x","44",4.2
"3",6,"Yes","Every winter","Leg-rye","3x","38",3.6
"4",6,"Yes","Every winter","Leg-rye","3x","33",3.1
"1",6,"Yes","Every winter","Mustard","1x","32",2.8
"2",6,"Yes","Every winter","Mustard","1x","48",4.3
"3",6,"Yes","Every winter","Mustard","1x","35",3.2
"4",6,"Yes","Every winter","Mustard","1x","40",3.8
"1",6,"Yes","Every winter","Mustard","3x","40",3.6
"2",6,"Yes","Every winter","Mustard","3x","38",3.5
"3",6,"Yes","Every winter","Mustard","3x","35",3.4
"4",6,"Yes","Every winter","Mustard","3x","35",3.3
"1",6,"Yes","Every winter","Rye","1x","34",3.2
"2",6,"Yes","Every winter","Rye","1x","46",4.2
"3",6,"Yes","Every winter","Rye","1x","34",3.2
"4",6,"Yes","Every winter","Rye","1x","34",3.3
"1",6,"Yes","Every winter","Rye","3x","42",3.8
"2",6,"Yes","Every winter","Rye","3x","41",3.8
"3",6,"Yes","Every winter","Rye","3x","37",3.4
"4",6,"Yes","Every winter","Rye","3x","37",3.5
"1",7,"No","Every 4th winter","Leg-rye","3x","15",1.4
"2",7,"No","Every 4th winter","Leg-rye","3x","20",2
"3",7,"No","Every 4th winter","Leg-rye","3x","22",2.1
"4",7,"No","Every 4th winter","Leg-rye","3x","27",2.6
"1",7,"Yes","Every 4th winter","Leg-rye","3x","21",2
"2",7,"Yes","Every 4th winter","Leg-rye","3x","35",3.2
"3",7,"Yes","Every 4th winter","Leg-rye","3x","33",3.1
"4",7,"Yes","Every 4th winter","Leg-rye","3x","37",3.5
"1",7,"Yes","Every winter","Leg-rye","1x","37",3.4
"2",7,"Yes","Every winter","Leg-rye","1x","39",3.7
"3",7,"Yes","Every winter","Leg-rye","1x","31",2.9
"4",7,"Yes","Every winter","Leg-rye","1x","38",3.7
"1",7,"Yes","Every winter","Leg-rye","3x","35",3.3
"2",7,"Yes","Every winter","Leg-rye","3x","33",3.3
"3",7,"Yes","Every winter","Leg-rye","3x","50",5
"4",7,"Yes","Every winter","Leg-rye","3x","40",3.7
"1",7,"Yes","Every winter","Mustard","1x","30",2.8
"2",7,"Yes","Every winter","Mustard","1x","61",5.7
"3",7,"Yes","Every winter","Mustard","1x","33",3.1
"4",7,"Yes","Every winter","Mustard","1x","33",3.1
"1",7,"Yes","Every winter","Mustard","3x","46",4.2
"2",7,"Yes","Every winter","Mustard","3x","37",3.5
"3",7,"Yes","Every winter","Mustard","3x","37",3.6
"4",7,"Yes","Every winter","Mustard","3x","40",3.8
"1",7,"Yes","Every winter","Rye","1x","36",3.6
"2",7,"Yes","Every winter","Rye","1x","47",4.4
"3",7,"Yes","Every winter","Rye","1x","42",4.2
"4",7,"Yes","Every winter","Rye","1x","37",3.7
"1",7,"Yes","Every winter","Rye","3x","52",4.9
"2",7,"Yes","Every winter","Rye","3x","46",4.4
"3",7,"Yes","Every winter","Rye","3x","34",3.1
"4",7,"Yes","Every winter","Rye","3x","34",3.1
"1",8,"No","Every 4th winter","Leg-rye","3x","22",2.2
"2",8,"No","Every 4th winter","Leg-rye","3x","17",1.9
"3",8,"No","Every 4th winter","Leg-rye","3x","18",1.9
"4",8,"No","Every 4th winter","Leg-rye","3x","24",2.5
"1",8,"Yes","Every 4th winter","Leg-rye","3x","24",2.4
"2",8,"Yes","Every 4th winter","Leg-rye","3x","37",3.7
"3",8,"Yes","Every 4th winter","Leg-rye","3x","26",2.5
"4",8,"Yes","Every 4th winter","Leg-rye","3x","33",3.3
"1",8,"Yes","Every winter","Leg-rye","1x","36",3.5
"2",8,"Yes","Every winter","Leg-rye","1x","30",3
"3",8,"Yes","Every winter","Leg-rye","1x","31",3
"4",8,"Yes","Every winter","Leg-rye","1x","32",3.2
"1",8,"Yes","Every winter","Leg-rye","3x","40",3.9
"2",8,"Yes","Every winter","Leg-rye","3x","28",2.9
"3",8,"Yes","Every winter","Leg-rye","3x","31",3.2
"4",8,"Yes","Every winter","Leg-rye","3x","32",3.2
"1",8,"Yes","Every winter","Mustard","1x","34",3.2
"2",8,"Yes","Every winter","Mustard","1x","38",3.6
"3",8,"Yes","Every winter","Mustard","1x","28",2.7
"4",8,"Yes","Every winter","Mustard","1x","32",3.1
"1",8,"Yes","Every winter","Mustard","3x","38",3.5
"2",8,"Yes","Every winter","Mustard","3x","33",3.3
"3",8,"Yes","Every winter","Mustard","3x","30",3.1
"4",8,"Yes","Every winter","Mustard","3x","31",3.1
"1",8,"Yes","Every winter","Rye","1x","28",2.9
"2",8,"Yes","Every winter","Rye","1x","30",3
"3",8,"Yes","Every winter","Rye","1x","36",3.5
"4",8,"Yes","Every winter","Rye","1x","43",4
"1",8,"Yes","Every winter","Rye","3x","35",3.3
"2",8,"Yes","Every winter","Rye","3x","29",2.8
"3",8,"Yes","Every winter","Rye","3x","32",3.1
"4",8,"Yes","Every winter","Rye","3x","32",3.2
